Word,Male/MW,Female/MW,LogOdds
[laughter],68718,140070,-72.031
mhm,31335,64684,-49.840
husband,395,7816,-48.866
and,258908,384997,-43.415
my,46859,84455,-42.616
oh,61826,105842,-41.264
she,17302,36116,-37.908
we,54497,90160,-33.942
um,82659,128368,-31.245
have,70112,109821,-30.055
kids,6295,14887,-29.332
he,33669,56746,-28.639
her,6387,14729,-28.203
children,2010,6755,-27.754
because,25455,43628,-26.476
so,92978,138563,-25.934
yes,11039,21436,-25.436
daughter,790,3739,-25.035
gosh,564,3162,-24.619
goodness,303,2190,-22.137
son,1023,3686,-21.489
home,4797,10178,-20.655
too,17756,29589,-19.864
wow,6330,12195,-18.857
uh-huh,15109,25273,-18.592
mom,1138,3343,-17.543
child,879,2794,-17.121
hi,7308,13243,-17.033
said,9821,16970,-16.899
don't,66248,95382,-16.810
him,6700,12257,-16.783
to,187546,256786,-16.397
really,42416,62630,-16.342
baby,449,1821,-16.197
love,3135,6526,-16.007
boyfriend,120,1039,-15.906
had,21433,33199,-15.585
neat,417,1641,-15.121
wonderful,512,1818,-14.947
ahem,11,648,-14.852
our,7993,13671,-14.695
didn't,11092,18148,-14.549
god,2365,4997,-14.368
thought,5220,9330,-13.787
me,25207,37494,-13.234
mother,985,2486,-12.977
shopping,263,1078,-12.533
them,19060,28695,-12.446
but,89813,123805,-12.350
sister,890,2231,-12.196
just,69793,97073,-12.171
hard,4540,7978,-12.164
do,59349,83096,-12.106
was,70424,97769,-11.954
sad,641,1747,-11.816
they,123124,167248,-11.661
i,429184,566136,-11.612
feel,5878,9838,-11.611
married,2627,4970,-11.564
cute,188,840,-11.556
think,59969,83537,-11.478
scary,713,1829,-11.338
family,6867,11195,-11.267
us,5946,9851,-11.214
when,26814,38826,-11.171
were,16228,24311,-11.123
pregnant,106,623,-11.106
ooh,352,1136,-11.044
read,2903,5300,-10.975
boys,294,1013,-10.934
either,3584,6285,-10.732
that,235818,313388,-10.426
parents,2523,4630,-10.389
thank,578,1493,-10.323
even,13767,20623,-10.238
coupons,41,407,-10.223
refunding,7,309,-10.164
mine,1423,2886,-10.155
older,1430,2876,-9.979
funny,3792,6444,-9.880
mystery,139,610,-9.762
can't,10073,15351,-9.736
old,5039,8223,-9.691
did,14450,21319,-9.455
loves,249,808,-9.353
uh-hum,771,1716,-9.141
[sigh],31232,43892,-9.121
young,1643,3092,-9.011
christmas,865,1840,-8.815
boy,958,1991,-8.814
fun,3006,5104,-8.768
couldn't,2357,4138,-8.735
babies,112,489,-8.719
very,14270,20839,-8.707
sometimes,4423,7121,-8.554
need,5013,7960,-8.537
his,5865,9154,-8.474
uh-uh,170,593,-8.436
horrible,570,1312,-8.389
we've,2800,4743,-8.388
daycare,39,302,-8.363
oldest,189,611,-8.110
youngest,136,505,-8.105
then,26804,37503,-8.046
skating,122,471,-8.012
would,30603,42555,-8.005
eat,2727,4564,-7.904
cook,764,1587,-7.862
everything,6791,10319,-7.853
[lipsmack],9399,13920,-7.830
stay,2117,3651,-7.786
awful,383,943,-7.761
watch,7373,11098,-7.722
michelle,27,239,-7.664
does,5131,7954,-7.644
books,1465,2654,-7.614
kindergarten,99,398,-7.535
thinking,2706,4466,-7.445
afraid,604,1291,-7.442
scared,443,1022,-7.427
nice,5498,8423,-7.412
different,7603,11327,-7.333
linda,32,236,-7.304
busy,502,1103,-7.187
supposed,3259,5221,-7.177
lisa,44,259,-7.164
families,551,1174,-7.060
little,12680,18181,-7.053
together,2520,4131,-6.985
things,15118,21435,-6.937
lives,1402,2469,-6.806
year,6421,9575,-6.780
age,1463,2556,-6.769
email,645,1302,-6.760
live,8455,12347,-6.698
mum,105,369,-6.688
school,10819,15547,-6.642
anything,8487,12369,-6.607
reading,1162,2079,-6.522
book,1285,2262,-6.507
want,11055,15827,-6.496
grown,287,693,-6.495
garden,149,445,-6.492
sit,1585,2705,-6.487
karen,31,200,-6.480
[laugh],142,431,-6.478
glad,556,1137,-6.471
gymnastics,30,197,-6.465
gotten,1145,2043,-6.418
mm,8618,12497,-6.397
mommy,27,187,-6.395
wonder,1432,2467,-6.379
terrible,666,1304,-6.373
anne,18,162,-6.331
felt,884,1637,-6.314
go,27088,37159,-6.300
likes,551,1115,-6.285
keep,3815,5863,-6.284
debbie,13,147,-6.279
isn't,2388,3844,-6.279
never,9538,13709,-6.247
men,708,1359,-6.241
coupon,19,161,-6.232
ones,2329,3752,-6.223
teenagers,149,431,-6.212
crafts,10,136,-6.198
am,2913,4579,-6.191
honey,50,232,-6.180
anymore,1111,1964,-6.135
house,3128,4874,-6.133
grade,736,1391,-6.102
hobbies,541,1082,-6.055
close,2470,3930,-6.049
told,1677,2786,-6.019
twins,68,264,-6.018
grandchildren,133,391,-6.003
nurse,75,277,-5.983
women,1198,2077,-5.966
moms,21,156,-5.949
until,1540,2575,-5.918
julie,18,144,-5.819
thinks,317,701,-5.785
hair,354,762,-5.783
dinner,410,853,-5.780
salad,115,346,-5.761
surveys,158,425,-5.750
library,448,912,-5.747
bed,353,755,-5.697
their,13454,18822,-5.685
husbands,25,155,-5.636
grocery,161,424,-5.618
granddaughter,45,199,-5.596
